kind,metric,thing,ts,val
network,events,Parsely,2017-07-08 14:45:00,647137
network,events,Parsely,2017-07-08 18:20:00,588100
network,events,Parsely,2017-07-08 21:50:00,604963
network,events,Parsely,2017-07-08 14:40:00,643549
network,events,Parsely,2017-07-08 21:05:00,598392
network,events,Parsely,2017-07-08 13:20:00,571333
network,events,Parsely,2017-07-08 02:25:00,647250
network,events,Parsely,2017-07-08 20:15:00,594900
network,events,Parsely,2017-07-08 13:25:00,575226
network,events,Parsely,2017-07-08 02:20:00,647006
network,events,Parsely,2017-07-08 01:40:00,647476
network,events,Parsely,2017-07-08 12:55:00,535299
network,events,Parsely,2017-07-08 06:15:00,307114
network,events,Parsely,2017-07-08 01:45:00,641419
network,events,Parsely,2017-07-08 06:10:00,313826
network,events,Parsely,2017-07-08 12:50:00,533008
network,events,Parsely,2017-07-08 03:50:00,460957
network,events,Parsely,2017-07-08 22:00:00,588049
network,events,Parsely,2017-07-08 03:55:00,456941
network,events,Parsely,2017-07-08 20:10:00,588968
network,events,Parsely,2017-07-08 21:15:00,607878
network,events,Parsely,2017-07-08 11:10:00,352214
network,events,Parsely,2017-07-08 13:00:00,540620
network,events,Parsely,2017-07-08 19:00:00,571528
network,events,Parsely,2017-07-08 11:15:00,356938
network,events,Parsely,2017-07-08 04:50:00,430023
network,events,Parsely,2017-07-08 13:30:00,580657
network,events,Parsely,2017-07-08 09:10:00,226954
network,events,Parsely,2017-07-08 22:05:00,584304
network,events,Parsely,2017-07-08 09:15:00,227631
network,events,Parsely,2017-07-08 22:15:00,596408
network,events,Parsely,2017-07-08 10:05:00,255138
network,events,Parsely,2017-07-08 22:10:00,594611
network,events,Parsely,2017-07-08 16:20:00,609681
network,events,Parsely,2017-07-08 23:55:00,536729
network,events,Parsely,2017-07-08 15:10:00,633850
network,events,Parsely,2017-07-08 18:50:00,588767
network,events,Parsely,2017-07-08 19:35:00,588523
network,events,Parsely,2017-07-08 21:45:00,611286
network,events,Parsely,2017-07-08 18:55:00,584624
network,events,Parsely,2017-07-08 21:40:00,608662
network,events,Parsely,2017-07-08 04:55:00,412804
network,events,Parsely,2017-07-10 02:30:00,705759
network,events,Parsely,2017-07-10 10:25:00,355105
network,events,Parsely,2017-07-10 16:50:00,803193
network,events,Parsely,2017-07-10 20:00:00,839434
network,events,Parsely,2017-07-10 02:35:00,715495
network,events,Parsely,2017-07-10 11:20:00,461858
network,events,Parsely,2017-07-10 12:40:00,601534
network,events,Parsely,2017-07-10 00:05:00,600637
network,events,Parsely,2017-07-10 06:20:00,317230
network,events,Parsely,2017-07-10 11:25:00,473441
network,events,Parsely,2017-07-10 06:25:00,313465
network,events,Parsely,2017-07-10 00:00:00,604135
network,events,Parsely,2017-07-10 10:50:00,391807
network,events,Parsely,2017-07-10 03:40:00,511438
network,events,Parsely,2017-07-10 10:55:00,403121
network,events,Parsely,2017-07-10 16:55:00,793998
network,events,Parsely,2017-07-10 04:40:00,467134
network,events,Parsely,2017-07-10 01:35:00,659094
network,events,Parsely,2017-07-10 19:05:00,800103
network,events,Parsely,2017-07-10 01:30:00,656262
network,events,Parsely,2017-07-10 07:10:00,284467
network,events,Parsely,2017-07-10 19:55:00,858157
network,events,Parsely,2017-07-10 07:15:00,284072
network,events,Parsely,2017-07-10 09:05:00,264939
network,events,Parsely,2017-07-10 13:35:00,681818
network,events,Parsely,2017-07-10 09:00:00,260448
network,events,Parsely,2017-07-10 20:05:00,849186
network,events,Parsely,2017-07-10 07:25:00,275873
network,events,Parsely,2017-07-10 19:50:00,858767
network,events,Parsely,2017-07-10 23:45:00,677258
network,events,Parsely,2017-07-10 18:40:00,807550
network,events,Parsely,2017-07-10 18:45:00,804533
network,events,Parsely,2017-07-10 11:30:00,479121
network,events,Parsely,2017-07-10 18:25:00,808477
network,events,Parsely,2017-07-10 15:15:00,751820
network,events,Parsely,2017-07-10 16:30:00,784369
network,events,Parsely,2017-07-10 10:00:00,308134
network,events,Parsely,2017-07-10 00:10:00,610023
network,events,Parsely,2017-07-10 13:05:00,634010
network,events,Parsely,2017-07-10 15:20:00,778859
network,events,Parsely,2017-07-10 00:15:00,609458
network,events,Parsely,2017-07-10 15:25:00,786791
network,events,Parsely,2017-07-10 12:45:00,610984
network,events,Parsely,2017-07-10 02:45:00,669276
network,events,Parsely,2017-07-10 23:30:00,683146
network,events,Parsely,2017-07-10 10:40:00,382361
network,events,Parsely,2017-07-10 22:35:00,718397
network,events,Parsely,2017-07-10 23:35:00,680523
network,events,Parsely,2017-07-10 02:40:00,700741
network,events,Parsely,2017-07-10 10:45:00,389493
network,events,Parsely,2017-07-10 12:35:00,593195
network,events,Parsely,2017-07-10 05:15:00,400901
network,events,Parsely,2017-07-10 01:25:00,647212
network,events,Parsely,2017-07-10 10:20:00,343742
network,events,Parsely,2017-07-10 12:30:00,578421
network,events,Parsely,2017-07-10 01:20:00,645469
network,events,Parsely,2017-07-10 05:10:00,412112
network,events,Parsely,2017-07-10 17:55:00,807415
network,events,Parsely,2017-07-10 14:10:00,710834
network,events,Parsely,2017-07-10 07:00:00,282892
network,events,Parsely,2017-07-10 08:40:00,255825
network,events,Parsely,2017-07-10 14:15:00,724493
network,events,Parsely,2017-07-10 22:30:00,722416
network,events,Parsely,2017-07-10 08:45:00,254008
network,events,Parsely,2017-07-10 07:05:00,288301
network,events,Parsely,2017-07-10 05:20:00,392835
network,events,Parsely,2017-07-10 12:25:00,579047
network,events,Parsely,2017-07-10 16:35:00,793932
network,events,Parsely,2017-07-10 14:20:00,730271
network,events,Parsely,2017-07-10 05:50:00,353175
network,events,Parsely,2017-07-10 13:10:00,646636
network,events,Parsely,2017-07-10 16:25:00,800833
network,events,Parsely,2017-07-10 03:45:00,499141
network,events,Parsely,2017-07-10 00:30:00,615534
network,events,Parsely,2017-07-10 20:25:00,870472
network,events,Parsely,2017-07-10 11:45:00,513369
network,events,Parsely,2017-07-10 19:45:00,854152
network,events,Parsely,2017-07-10 22:45:00,722010
network,events,Parsely,2017-07-10 02:55:00,656139
network,events,Parsely,2017-07-10 03:35:00,523575
network,events,Parsely,2017-07-10 02:50:00,661044
network,events,Parsely,2017-07-10 22:40:00,720133
network,events,Parsely,2017-07-10 05:00:00,415395
network,events,Parsely,2017-07-10 17:35:00,825527
network,events,Parsely,2017-07-10 16:15:00,794089
network,events,Parsely,2017-07-10 01:10:00,632373
network,events,Parsely,2017-07-10 05:05:00,419325
